,Unnamed: 0,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
53,53,M3M,North York,Downsview,43.733220000000074,-79.49769999999995,0.0,Caribbean Restaurant,Vietnamese Restaurant,Discount Store,Shopping Mall,Grocery Store,Pizza Place,Coffee Shop,Pool,Beer Store,Fried Chicken Joint
54,54,M4M,East Toronto,Studio District,43.64800000000002,-79.33925999999997,1.0,Night Market,Baseball Field,Government Building,Business Service,Falafel Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Farm,Donut Shop
55,55,M5M,North York,"Bedford Park, Lawrence Manor East",43.735446609000064,-79.41794403499995,1.0,Italian Restaurant,Sandwich Place,Sushi Restaurant,Coffee Shop,Indian Restaurant,Comfort Food Restaurant,Liquor Store,Sports Club,Butcher,Café
56,56,M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.695074962000035,-79.48717932199997,1.0,Construction & Landscaping,Playground,Food & Drink Shop,Coffee Shop,Farm,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant
57,57,M9M,North York,"Humberlea, Emery",43.733682102000046,-79.54438077099995,2.0,Playground,Park,Donut Shop,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farm,Distribution Center
58,58,M1N,Scarborough,"Birch Cliff, Cliffside West",43.696447877000026,-79.26564232899995,0.0,Pizza Place,Skating Rink,General Entertainment,College Stadium,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm,Distribution Center
59,59,M2N,North York,"Willowdale, Willowdale East",43.76907678000003,-79.41369502399994,1.0,Ramen Restaurant,Korean Restaurant,Coffee Shop,Sushi Restaurant,Fast Food Restaurant,Sandwich Place,Café,Restaurant,Pizza Place,Park
60,60,M3N,North York,Downsview,43.755819174000074,-79.51997275199994,0.0,Caribbean Restaurant,Vietnamese Restaurant,Discount Store,Shopping Mall,Grocery Store,Pizza Place,Coffee Shop,Pool,Beer Store,Fried Chicken Joint
61,61,M4N,Central Toronto,Lawrence Park,43.72945456600007,-79.38641531799993,1.0,Swim School,Bus Line,Women's Store,Donut Shop,Fish Market,Fish & Chips Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market
62,62,M5N,Central Toronto,Roselawn,43.71063414000002,-79.41874774499995,1.0,Home Service,Clothing Store,Ice Cream Shop,Women's Store,Farm,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant
63,63,M6N,York,"Runnymede, The Junction North",43.67685581100005,-79.47869052799996,1.0,Brewery,Storage Facility,Gas Station,Park,Coffee Shop,Home Service,Financial or Legal Service,Field,Fish & Chips Shop,Donut Shop
64,64,M9N,York,Weston,43.70549635400005,-79.52037009099996,0.0,Grocery Store,Breakfast Spot,Convenience Store,Pharmacy,Women's Store,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farm
65,65,M1P,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre",43.76131000000004,-79.26993999999995,1.0,Bakery,Sporting Goods Shop,Brewery,Auto Garage,Asian Restaurant,Wine Shop,Fish Market,Fish & Chips Shop,Financial or Legal Service,Field
66,66,M2P,North York,York Mills West,43.75026000000002,-79.39835499999998,2.0,Bank,Park,Convenience Store,Eastern European Restaurant,Electronics Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farm,Women's Store
67,67,M4P,Central Toronto,Davisville North,43.71317113200008,-79.38887016199999,1.0,Gym,Bus Line,Food & Drink Shop,Breakfast Spot,Park,Department Store,Elementary School,Ethiopian Restaurant,Falafel Restaurant,Farm
68,68,M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.69446000000005,-79.41027999999993,2.0,Park,Women's Store,Dog Run,Fish Market,Fish & Chips Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Farm
69,69,M6P,West Toronto,"High Park, The Junction South",43.658720000000066,-79.46314999999998,1.0,Tennis Court,Gym / Fitness Center,Residential Building (Apartment / Condo),Sandwich Place,Park,Gas Station,Convenience Store,Farmers Market,Farm,Fast Food Restaurant
70,70,M9P,Etobicoke,Westmount,43.69629612800003,-79.53312611699994,0.0,Pizza Place,Coffee Shop,Middle Eastern Restaurant,Sandwich Place,Chinese Restaurant,Intersection,Discount Store,Cuban Restaurant,Donut Shop,Financial or Legal Service
